Assignment,AttackType,MaliciousPct,Model,SuccessRate,FailureRate,Latency,MAR,ServiceDenialRate,ServiceDenialCount,Availability,PoolAvailability,HonestAvailability,TPR_gov,FPR_gov,FNR_gov,TNR_gov,Precision_gov,NPV_gov,F1_gov,TPR_sel,FPR_sel,FNR_sel,TNR_sel,Precision_sel,NPV_sel,F1_sel,PMTI,RepSep,SER_mal,EarlyMAR_100,PctGoodSel,PctWarningSel,PctServiceDenial,FailMalicious_Pct,FailHonest_Pct,UndetectedMaliciousRate,TPR,FPR,FNR,TNR,Precision,NPV,F1,FirstHalf_SR,FirstHalf_MAR,SecondHalf_SR,SecondHalf_MAR,SR_Drop,MAR_Drop,MalSelected_Phase1,MalSelected_Phase2,MalSelectRatio,InitialMAR_Phase2,FinalMAR_Phase2,MARImprovement,RunsToDetect,StalenessScore
moderate,always,0,Beta,97.88306452,2.116935484,204.8754359,100,0.8,8,99.2,100,100,0,0,0,100,0,100,0,0,2.116935484,0,97.88306452,0,100,0,NaN,NaN,NaN,100,96.37096774,3.629032258,0.8,0,100,NaN,0,0,0,100,0,100,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,REVS-T,97.88306452,2.116935484,204.8754359,100,0.8,8,99.2,100,100,0,0,0,100,0,100,0,0,2.116935484,0,97.88306452,0,100,0,NaN,NaN,NaN,100,96.37096774,3.629032258,0.8,0,100,NaN,0,0,0,100,0,100,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,REVS-T-Uniform,97.88306452,2.116935484,204.8754359,100,0.8,8,99.2,100,100,0,0,0,100,0,100,0,0,2.116935484,0,97.88306452,0,100,0,NaN,NaN,NaN,100,86.08870968,13.91129032,0.8,0,100,NaN,0,0,0,100,0,100,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,Threshold,97.88306452,2.116935484,204.8754359,100,0.8,8,99.2,100,100,0,0,0,100,0,100,0,0,2.116935484,0,97.88306452,0,100,0,NaN,NaN,NaN,100,96.37096774,3.629032258,0.8,0,100,NaN,0,0,0,100,0,100,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,Threshold-MaxRep,97.88306452,2.116935484,204.8754359,100,0.8,8,99.2,100,100,0,0,0,100,0,100,0,0,2.116935484,0,97.88306452,0,100,0,NaN,NaN,NaN,100,96.47177419,3.528225806,0.8,0,100,NaN,0,0,0,100,0,100,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,Threshold-NoTierSel,97.88092836,2.119071645,204.9419378,100,0.9,9,99.1,100,100,0,0,0,100,0,100,0,0,2.119071645,0,97.88092836,0,100,0,NaN,NaN,NaN,100,94.45005045,5.549949546,0.9,0,100,NaN,0,0,0,100,0,100,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,10,Beta,96.85279188,3.147208122,199.1056212,100,1.5,15,98.5,98.57142857,98.41269841,0,1.587301587,100,98.41269841,0,89.85507246,0,0,3.147208122,0,96.85279188,0,100,0,NaN,NaN,NaN,100,96.54822335,3.45177665,1.5,0,100,100,0,1.587301587,100,98.41269841,0,89.85507246,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,10,REVS-T,96.73802243,3.261977574,199.3704693,99.9,1.9,19,98.1,98.57142857,100,14.28571429,0,85.71428571,100,100,91.30434783,25,100,3.163265306,0,96.83673469,3.125,100,6.060606061,1,0.33322452,NaN,100,96.12640163,3.873598369,1.9,3.125,96.875,85.71428571,14.28571429,0,85.71428571,100,100,91.30434783,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,10,REVS-T-Uniform,96.54822335,3.45177665,199.5243222,99.7,1.5,15,98.5,98.57142857,98.41269841,0,1.587301587,100,98.41269841,0,89.85507246,0,100,3.156822811,0,96.84317719,8.823529412,100,16.21621622,NaN,0.169924697,NaN,99,85.68527919,14.31472081,1.5,8.823529412,91.17647059,100,0,1.587301587,100,98.41269841,0,89.85507246,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,10,Threshold,96.73802243,3.261977574,199.3704693,99.9,1.9,19,98.1,98.57142857,100,14.28571429,0,85.71428571,100,100,91.30434783,25,100,3.163265306,0,96.83673469,3.125,100,6.060606061,1,0.318307048,NaN,100,96.12640163,3.873598369,1.9,3.125,96.875,85.71428571,14.28571429,0,85.71428571,100,100,91.30434783,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
