Assignment,AttackType,MaliciousPct,Model,SuccessRate,FailureRate,Latency,MAR,ServiceDenialRate,ServiceDenialCount,Availability,PoolAvailability,HonestAvailability,TPR_gov,FPR_gov,FNR_gov,TNR_gov,Precision_gov,NPV_gov,F1_gov,TPR_exp,MalExposureRate,NumMalExposed,NumMalBlacklistedExposed,TPR_sel,FPR_sel,FNR_sel,TNR_sel,Precision_sel,NPV_sel,F1_sel,PMTI,RepSep,RepSep_provider,SER_mal,EarlyMAR_100,PctGoodSel,PctWarningSel,PctServiceDenial,FailMalicious_Pct,FailHonest_Pct,UndetectedMaliciousRate,TPR,FPR,FNR,TNR,Precision,NPV,F1,FirstHalf_SR,FirstHalf_MAR,SecondHalf_SR,SecondHalf_MAR,SR_Drop,MAR_Drop,MalSelected_Phase1,MalSelected_Phase2,MalSelectRatio,InitialMAR_Phase2,FinalMAR_Phase2,MARImprovement,RunsToDetect,StalenessScore
moderate,always,0,3VSL-Binary,96.8764445659388,3.1235554340612,196.292330238174,100,0.75,7.5,99.25,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,3.1235554340612,0,96.8764445659388,0,100,0,NaN,NaN,NaN,NaN,100,96.4636017457879,3.53639825421208,0.75,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,Beta (BRS),96.8764445659388,3.1235554340612,196.292330238174,100,0.75,7.5,99.25,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,3.1235554340612,0,96.8764445659388,0,100,0,NaN,NaN,NaN,NaN,100,96.2919851119867,3.70801488801327,0.75,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,ScalarRep-CumReward,96.8764445659388,3.1235554340612,196.292330238174,100,0.75,7.5,99.25,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,3.1235554340612,0,96.8764445659388,0,100,0,NaN,NaN,NaN,NaN,100,91.9089263242534,8.09107367574657,0.75,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,ScalarRep-EMA,96.8764445659388,3.1235554340612,196.292330238174,100,0.75,7.5,99.25,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,3.1235554340612,0,96.8764445659388,0,100,0,NaN,NaN,NaN,NaN,100,0.100594161804625,99.8994058381954,0.75,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,Threshold-MaxRep,96.8716337973063,3.12836620269372,196.288693642508,100,0.9,9,99.1,99.7142857142857,99.7142857142857,NaN,0.285714285714286,NaN,99.7142857142857,NaN,NaN,NaN,NaN,0,0,0,0,3.12836620269372,0,96.8716337973063,0,100,0,NaN,NaN,NaN,NaN,100,94.8741523473211,5.12584765267894,0.9,0,100,NaN,NaN,0.285714285714286,NaN,99.7142857142857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,Threshold-NoTierSel,96.8729040425695,3.12709595743051,196.245800327238,100,1.48,14.8,98.52,99.5714285714286,99.5714285714286,NaN,0.428571428571429,NaN,99.5714285714286,NaN,NaN,NaN,NaN,0,0,0,0,3.12709595743051,0,96.8729040425695,0,100,0,NaN,NaN,NaN,NaN,100,85.051091033029,14.948908966971,1.48,0,100,NaN,NaN,0.428571428571429,NaN,99.5714285714286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,10,3VSL-Binary,96.8966586347302,3.10334136526982,196.322609466064,99.93,2.04,20.4,97.96,100,100,0,0,100,100,0,90,0,0,100,7,0,40,3.03384926439605,0,96.966150735604,2.18698137562235,100,4.11111111111111,NaN,0.276836023085244,0.14934081350748,NaN,99.8,95.9057449968784,4.09425500312162,2.04,2.18698137562235,97.8130186243776,100,0,0,100,100,0,90,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,10,Beta (BRS),96.8763961653147,3.12360383468533,196.383796363576,99.91,2.04,20.4,97.96,100,100,0,0,100,100,0,90,0,0,100,7,0,50,3.03443376712587,0,96.9655662328741,2.84021668295862,100,5.31995230524642,NaN,0.579246361251765,0.216961195930628,NaN,99.8,96.3757357957756,3.62426420422439,2.04,2.84021668295862,97.1597833170414,100,0,0,100,100,0,90,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,10,ScalarRep-CumReward,96.8661712164394,3.13382878356059,196.403933849039,99.9,2.04,20.4,97.96,100,100,0,0,100,100,0,90,0,0,100,7,0,50,3.03472861259525,0,96.9652713874048,3.12247474747475,100,5.7774686451157,NaN,12.6190660336938,5.6628109913849,NaN,99.8,91.883466655315,8.11653334468495,2.04,3.12247474747475,96.8775252525252,100,0,0,100,100,0,90,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,10,ScalarRep-EMA,95.7737365042574,4.22626349574264,198.407000025981,98.82,2.04,20.4,97.96,100,100,0,0,100,100,0,90,0,0,100,7,0,100,3.05836192151591,0,96.9416380784841,28.1935330611818,100,43.6556003212223,NaN,-0.00855767924122994,0.00658773962043598,NaN,96.8,0.0919527689618221,99.9080472310382,2.04,28.1935330611818,71.8064669388182,100,0,0,100,100,0,90,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
