Assignment,AttackType,MaliciousPct,Model,SuccessRate,FailureRate,Latency,MAR,ServiceDenialRate,ServiceDenialCount,Availability,PoolAvailability,HonestAvailability,TPR_gov,FPR_gov,FNR_gov,TNR_gov,Precision_gov,NPV_gov,F1_gov,TPR_exp,MalExposureRate,NumMalExposed,NumMalBlacklistedExposed,TPR_sel,FPR_sel,FNR_sel,TNR_sel,Precision_sel,NPV_sel,F1_sel,PMTI,RepSep,RepSep_provider,SER_mal,EarlyMAR_100,PctGoodSel,PctWarningSel,PctServiceDenial,FailMalicious_Pct,FailHonest_Pct,UndetectedMaliciousRate,TPR,FPR,FNR,TNR,Precision,NPV,F1,FirstHalf_SR,FirstHalf_MAR,SecondHalf_SR,SecondHalf_MAR,SR_Drop,MAR_Drop,MalSelected_Phase1,MalSelected_Phase2,MalSelectRatio,InitialMAR_Phase2,FinalMAR_Phase2,MARImprovement,RunsToDetect,StalenessScore
moderate,always,0,3VSL-Binary,96.87644457,3.123555434,196.2923302,100,0.75,7.5,99.25,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,3.123555434,0,96.87644457,0,100,0,NaN,NaN,NaN,NaN,100,96.46360175,3.536398254,0.75,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,Beta (BRS),96.87644457,3.123555434,196.2923302,100,0.75,7.5,99.25,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,3.123555434,0,96.87644457,0,100,0,NaN,NaN,NaN,NaN,100,96.29198511,3.708014888,0.75,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,RUST,96.87423166,3.125768341,196.297925,100,1.13,11.3,98.87,99.57142857,99.57142857,NaN,0.428571429,NaN,99.57142857,NaN,NaN,NaN,NaN,0,0,0,0,3.125768341,0,96.87423166,0,100,0,NaN,NaN,NaN,NaN,100,95.0635083,4.936491699,1.13,0,100,NaN,NaN,0.428571429,NaN,99.57142857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,RUST-NoDH,96.87615311,3.12384689,196.3060063,100,0.76,7.6,99.24,99.28571429,99.28571429,NaN,0.714285714,NaN,99.28571429,NaN,NaN,NaN,NaN,0,0,0,0,3.12384689,0,96.87615311,0,100,0,NaN,NaN,NaN,NaN,100,97.79354068,2.206459323,0.76,0,100,NaN,NaN,0.714285714,NaN,99.28571429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,RUST-NoRec,96.87552686,3.124473137,196.2971229,100,0.78,7.8,99.22,99.14285714,99.14285714,NaN,0.857142857,NaN,99.14285714,NaN,NaN,NaN,NaN,0,0,0,0,3.124473137,0,96.87552686,0,100,0,NaN,NaN,NaN,NaN,100,92.68308204,7.316917956,0.78,0,100,NaN,NaN,0.857142857,NaN,99.14285714,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,RUST-NoTier,96.87290404,3.127095957,196.2458003,100,1.48,14.8,98.52,99.28571429,99.28571429,NaN,0.714285714,NaN,99.28571429,NaN,NaN,NaN,NaN,0,0,0,0,3.127095957,0,96.87290404,0,100,0,NaN,NaN,NaN,NaN,100,85.43664646,14.56335354,1.48,0,100,NaN,NaN,0.714285714,NaN,99.28571429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,RUST-Uniform,96.87606743,3.123932566,196.2883414,100,0.76,7.6,99.24,98.14285714,98.14285714,NaN,1.857142857,NaN,98.14285714,NaN,NaN,NaN,NaN,0,0,0,0,3.123932566,0,96.87606743,0,100,0,NaN,NaN,NaN,NaN,100,39.31969313,60.68030687,0.76,0,100,NaN,NaN,1.857142857,NaN,98.14285714,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,ScalarRep-CumReward,96.87644457,3.123555434,196.2923302,100,0.75,7.5,99.25,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,3.123555434,0,96.87644457,0,100,0,NaN,NaN,NaN,NaN,100,91.90892632,8.091073676,0.75,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,ScalarRep-EMA,96.87644457,3.123555434,196.2923302,100,0.75,7.5,99.25,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,3.123555434,0,96.87644457,0,100,0,NaN,NaN,NaN,NaN,100,0.100594162,99.89940584,0.75,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,Threshold,96.87423166,3.125768341,196.297925,100,1.13,11.3,98.87,99.71428571,99.71428571,NaN,0.285714286,NaN,99.71428571,NaN,NaN,NaN,NaN,0,0,0,0,3.125768341,0,96.87423166,0,100,0,NaN,NaN,NaN,NaN,100,95.0635083,4.936491699,1.13,0,100,NaN,NaN,0.285714286,NaN,99.71428571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,Threshold-MaxRep,96.8716338,3.128366203,196.2886936,100,0.9,9,99.1,99.71428571,99.71428571,NaN,0.285714286,NaN,99.71428571,NaN,NaN,NaN,NaN,0,0,0,0,3.128366203,0,96.8716338,0,100,0,NaN,NaN,NaN,NaN,100,94.87415235,5.125847653,0.9,0,100,NaN,NaN,0.285714286,NaN,99.71428571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,Threshold-NoTierSel,96.87290404,3.127095957,196.2458003,100,1.48,14.8,98.52,99.57142857,99.57142857,NaN,0.428571429,NaN,99.57142857,NaN,NaN,NaN,NaN,0,0,0,0,3.127095957,0,96.87290404,0,100,0,NaN,NaN,NaN,NaN,100,85.05109103,14.94890897,1.48,0,100,NaN,NaN,0.428571429,NaN,99.57142857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,Threshold-Uniform,96.87606743,3.123932566,196.2883414,100,0.76,7.6,99.24,99.71428571,99.71428571,NaN,0.285714286,NaN,99.71428571,NaN,NaN,NaN,NaN,0,0,0,0,3.123932566,0,96.87606743,0,100,0,NaN,NaN,NaN,NaN,100,39.19829548,60.80170452,0.76,0,100,NaN,NaN,0.285714286,NaN,99.71428571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,10,3VSL-Binary,96.89665863,3.103341365,196.3226095,99.93,2.04,20.4,97.96,100,100,0,0,100,100,0,90,0,0,100,7,0,40,3.033849264,0,96.96615074,2.186981376,100,4.111111111,NaN,0.276836023,0.149340814,NaN,99.8,95.905745,4.094255003,2.04,2.186981376,97.81301862,100,0,0,100,100,0,90,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,10,Beta (BRS),96.87639617,3.123603835,196.3837964,99.91,2.04,20.4,97.96,100,100,0,0,100,100,0,90,0,0,100,7,0,50,3.034433767,0,96.96556623,2.840216683,100,5.319952305,NaN,0.579246361,0.216961196,NaN,99.8,96.3757358,3.624264204,2.04,2.840216683,97.15978332,100,0,0,100,100,0,90,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
