Assignment,AttackType,MaliciousPct,Model,Seed,SuccessRate,FailureRate,Latency,MAR,ServiceDenialRate,ServiceDenialCount,Availability,PoolAvailability,HonestAvailability,TPR_gov,FPR_gov,FNR_gov,TNR_gov,Precision_gov,NPV_gov,F1_gov,TPR_exp,MalExposureRate,NumMalExposed,NumMalBlacklistedExposed,TPR_sel,FPR_sel,FNR_sel,TNR_sel,Precision_sel,NPV_sel,F1_sel,PMTI,RepSep,RepSep_provider,SER_mal,EarlyMAR_100,PctGoodSel,PctWarningSel,PctServiceDenial,FailMalicious_Pct,FailHonest_Pct,UndetectedMaliciousRate,TPR,FPR,FNR,TNR,Precision,NPV,F1,FirstHalf_SR,FirstHalf_MAR,SecondHalf_SR,SecondHalf_MAR,SR_Drop,MAR_Drop,MalSelected_Phase1,MalSelected_Phase2,MalSelectRatio,InitialMAR_Phase2,FinalMAR_Phase2,MARImprovement,RunsToDetect,StalenessScore
moderate,always,0,3VSL-Binary,1,96.8875502,3.112449799,197.4033986,100,0.4,4,99.6,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,3.112449799,0,96.8875502,0,100,0,NaN,NaN,NaN,NaN,100,96.28514056,3.714859438,0.4,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,3VSL-Binary,2,95.9798995,4.020100503,195.1737846,100,0.5,5,99.5,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,4.020100503,0,95.9798995,0,100,0,NaN,NaN,NaN,NaN,100,95.1758794,4.824120603,0.5,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,3VSL-Binary,3,97.09418838,2.905811623,198.0791835,100,0.2,2,99.8,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,2.905811623,0,97.09418838,0,100,0,NaN,NaN,NaN,NaN,100,96.69338677,3.306613226,0.2,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,3VSL-Binary,4,96.87814703,3.121852971,192.5755722,100,0.7,7,99.3,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,3.121852971,0,96.87814703,0,100,0,NaN,NaN,NaN,NaN,100,96.87814703,3.121852971,0.7,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,3VSL-Binary,5,96.25884732,3.741152679,195.2839237,100,1.1,11,98.9,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,3.741152679,0,96.25884732,0,100,0,NaN,NaN,NaN,NaN,100,95.44994944,4.550050556,1.1,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,3VSL-Binary,6,97.68145161,2.318548387,195.1240717,100,0.8,8,99.2,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,2.318548387,0,97.68145161,0,100,0,NaN,NaN,NaN,NaN,100,97.68145161,2.318548387,0.8,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,3VSL-Binary,7,96.86234818,3.137651822,197.3420031,100,1.2,12,98.8,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,3.137651822,0,96.86234818,0,100,0,NaN,NaN,NaN,NaN,100,96.96356275,3.036437247,1.2,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,3VSL-Binary,8,98.08467742,1.915322581,200.5927554,100,0.8,8,99.2,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,1.915322581,0,98.08467742,0,100,0,NaN,NaN,NaN,NaN,100,97.0766129,2.923387097,0.8,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,3VSL-Binary,9,96.26639758,3.733602422,195.4442047,100,0.9,9,99.1,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,3.733602422,0,96.26639758,0,100,0,NaN,NaN,NaN,NaN,100,95.96367306,4.036326942,0.9,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,3VSL-Binary,10,96.77093845,3.229061554,195.9044049,100,0.9,9,99.1,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,3.229061554,0,96.77093845,0,100,0,NaN,NaN,NaN,NaN,100,96.46821393,3.531786075,0.9,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
